LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;BAD
1100;25860;39025;HomeImp;Other;10.5;0;0;94.366666667;1;9;1
1300;70053;68400;HomeImp;Other;7;0;2;121.83333333;0;14;1
1500;13500;16700;HomeImp;Other;4;0;0;149.46666667;1;10;1
1700;97800;112000;HomeImp;Office;3;0;0;93.333333333;0;14;0
1700;30548;40320;HomeImp;Other;9;0;0;101.46600191;1;8;1
1800;48649;57037;HomeImp;Other;5;3;2;77.1;1;17;1
1800;28502;43034;HomeImp;Other;11;0;0;88.766029879;0;8;1
2000;32700;46740;HomeImp;Other;3;0;2;216.93333333;1;12;1
2000;20627;29800;HomeImp;Office;11;0;1;122.53333333;1;9;1
2000;45000;55000;HomeImp;Other;3;0;0;86.066666667;2;25;1
2100;71000;83850;HomeImp;Other;8;0;1;123;0;16;1
2200;90957;102600;HomeImp;Mgr;7;2;6;122.9;1;22;1
2300;28192;40150;HomeImp;Other;4.5;0;0;54.6;1;16;1
2300;102370;120953;HomeImp;Office;2;0;0;90.992533467;0;13;0
2300;37626;46200;HomeImp;Other;3;0;1;122.26666667;1;14;1
2400;28000;40800;HomeImp;Mgr;12;0;0;67.2;2;22;1
2400;34863;47471;HomeImp;Mgr;12;0;0;70.491080032;1;21;1
2400;98449;117195;HomeImp;Office;4;0;0;93.811774855;0;13;0
2500;25116;36350;HomeImp;Other;10;1;2;276.96666667;0;9;1
2500;71408;78600;HomeImp;ProfExe;8;0;0;255.73333333;0;12;0
2800;50795;63100;HomeImp;Self;26;2;15;145.63333333;3;45;1
2800;4000;60850;HomeImp;Other;16;4;0;112.63333333;2;9;1
2900;78600;113000;DebtCon;ProfExe;6;1;0;165.33333333;2;26;1
2900;103949;112505;HomeImp;Office;1;0;0;96.10232967;0;13;0
2900;104373;120702;HomeImp;Office;2;0;0;101.54029753;0;13;0
2900;7750;67996;HomeImp;Other;16;3;0;122.20466276;2;8;1
2900;61962;70915;DebtCon;Mgr;2;0;0;282.80165924;3;37;1
3000;104570;121729;HomeImp;Office;2;0;0;85.884371895;0;14;0
3000;7000;20300;HomeImp;Other;3;0;0;50.8;5;9;1
3000;119826;193500;HomeImp;Other;8;0;0;130.03335846;0;27;1
3000;20000;29750;DebtCon;Other;2;0;0;187.06666667;0;12;1
3000;47000;82700;HomeImp;ProfExe;10;0;1;262.16666667;5;26;1
3000;34542;45900;HomeImp;Mgr;8.5;0;2;62.366666667;0;10;1
3000;47000;56400;HomeImp;Office;21;0;0;201.86666667;0;20;0
3100;39589;36100;HomeImp;Other;1.5;0;0;153.16666667;1;14;1
3200;48603;61000;HomeImp;ProfExe;28;0;4;122.03333333;1;25;1
3200;54000;64850;HomeImp;Other;1;0;0;121.86666667;3;21;1
3200;74864;87266;HomeImp;ProfExe;7;0;0;250.63126922;0;12;0
3300;126541;134527;HomeImp;Sales;9;1;0;139;0;36;1
3300;130518;164317;DebtCon;Other;9;0;6;192.28914897;0;33;1
3400;37000;52000;HomeImp;Office;2;0;1;183.29991561;0;6;1
3500;23200;38666;HomeImp;Other;11;0;0;162.36666667;0;14;1
3500;19400;20494;HomeImp;Other;5;0;0;95.933333333;0;9;1
3600;41900;52490;HomeImp;Mgr;3;0;0;72.033333333;2;4;1
3600;83700;111800;HomeImp;ProfExe;6;0;0;192.73333333;1;28;0
3600;100693;114743;HomeImp;Office;6;0;0;88.470452135;0;14;0
3600;48507;61000;DebtCon;Office;13;1;4;97.4;0;17;1
3600;52337;63989;HomeImp;Office;20;0;0;204.27249884;0;20;0
3700;17857;21144;HomeImp;Other;5;0;0;129.71732313;1;9;1
3800;19135;97692;HomeImp;Mgr;1.6;1;6;252.63333333;1;25;1
3800;51180;63459;HomeImp;Office;20;0;0;203.75153358;0;20;0
3900;29896;45960;HomeImp;Other;11;0;0;146.12324219;0;14;1
3900;14500;22092;HomeImp;Other;3.5;0;1;150.3;5;8;1
3900;52825;63000;DebtCon;ProfExe;8;0;4;171.66666667;1;31;0
3900;102143;118742;HomeImp;Office;2;0;0;85.277365579;0;13;0
3900;21200;39000;DebtCon;Mgr;4;0;1;86.566666667;2;14;1
4000;105164;112774;HomeImp;Office;1;0;0;94.724874167;0;13;0
4000;54543;61777;HomeImp;Office;21;0;0;205.58668003;0;19;0
4000;26572;31960;HomeImp;Office;11;0;0;117.79510387;0;8;1
4000;17000;52012;HomeImp;ProfExe;22;3;1;85.333333333;1;9;1
4000;29562;37200;DebtCon;Other;6;0;0;92.133333333;1;26;1
4000;41700;76725;HomeImp;Other;0.5;0;3;136.13333333;0;15;1
4000;58000;69440;HomeImp;Other;3.5;0;1;168.66666667;0;18;1
4000;45000;58350;HomeImp;Mgr;3.5;0;0;162;3;16;1
4000;7000;16020;HomeImp;Other;18;0;1;85.8;2;23;1
4000;66000;79050;HomeImp;Other;1.8;2;0;279;1;6;0
4000;62000;78000;HomeImp;Other;4;0;0;109.56666667;0;15;0
4000;64240;63990;HomeImp;Sales;5;2;0;160.3;1;23;0
4000;55000;59000;DebtCon;Other;12;2;0;146.1;0;22;1
4100;58500;65000;HomeImp;Other;8;1;2;63.933333333;2;15;1
4100;57992;63797;DebtCon;ProfExe;7;0;4;165.50503695;1;31;0
4200;56544;59218;HomeImp;Office;19;0;0;211.00259912;1;20;0
4200;34800;50225;HomeImp;Other;2;1;0;93.5;1;5;1
4200;67700;77000;DebtCon;Sales;4;0;0;128.83333333;0;31;0
4200;66272;82953;HomeImp;Other;3;0;0;110.27866259;0;15;0
4200;50216;58541;HomeImp;Office;19;0;0;209.87130224;0;19;0
4300;71206;78698;DebtCon;Sales;3;0;0;129.93286902;0;31;0
4300;68815;79852;HomeImp;Other;6;0;0;105.12070881;0;14;0
4300;72021;80027;HomeImp;Other;2;2;0;263.97030029;0;5;0
4400;53969;63869;DebtCon;ProfExe;7;0;3;162.39001067;0;30;0
4400;53091;64074;DebtCon;Office;14;1;3;89.86105825;0;17;1
4500;66127;79087;HomeImp;Other;4;1;0;81.349065098;0;15;0
4500;39000;66000;HomeImp;Other;1;0;0;170.36666667;1;19;1
4500;71082;79247;HomeImp;Other;4;0;0;118.76041007;0;14;0
4500;34184;46000;HomeImp;Mgr;3.5;0;1;122.6;2;22;1
4500;66517;87000;DebtCon;ProfExe;10;0;4;125.8;0;34;1
4500;45500;50000;HomeImp;Other;6;0;0;86.166666667;0;18;0
4500;118000;146870;HomeImp;ProfExe;4.5;2;0;203.86666667;1;20;1
4500;90000;105800;HomeImp;Other;6;2;3;80.1;3;10;1
4700;71855;88566;HomeImp;Other;2;2;0;283.95953809;0;5;0
4700;49100;58238;HomeImp;ProfExe;0.1;0;0;61.8;2;17;1
4700;88026;115506;HomeImp;ProfExe;6;0;0;182.24833156;0;27;0
4700;26900;45000;HomeImp;ProfExe;9;1;2;90.466666667;1;16;1
4800;56067;63102;DebtCon;ProfExe;9;0;3;160.14631128;1;30;0
